epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7082,1.09373,3.23035,1.30863,0.31899,0.3249,0.32478,0.2069,1.25371,2.66551,1.52382,0.000546086,0.000546086,0.000546086
2,84.7766,1.05829,1.42392,1.24002,0.20466,0.12389,0.11349,0.06981,1.96276,7.61023,2.46901,0.00107994,0.00107994,0.00107994
3,109.641,1.14388,1.34331,1.28772,0.24226,0.38373,0.33302,0.20779,1.28266,2.20225,1.52413,0.00159179,0.00159179,0.00159179
4,133.95,1.13331,1.3518,1.30332,0.33336,0.26046,0.28852,0.18144,1.55038,2.17075,1.88328,0.00156798,0.00156798,0.00156798
5,159.139,1.12755,1.22975,1.28375,0.85953,0.34318,0.43577,0.3068,1.14685,1.73132,1.36953,0.00153497,0.00153497,0.00153497
6,183.391,1.09581,1.17904,1.26916,0.56509,0.57391,0.5557,0.32616,1.1943,1.7468,1.43683,0.00150197,0.00150197,0.00150197
7,207.838,1.06074,1.13084,1.23378,0.33045,0.49598,0.40736,0.2696,1.12482,1.47662,1.32731,0.00146896,0.00146896,0.00146896
8,233.159,1.02845,1.06851,1.22529,0.46243,0.70304,0.53427,0.3868,1.06039,1.24925,1.247,0.00143595,0.00143595,0.00143595
9,256.764,1.01854,1.04373,1.2158,0.87055,0.4904,0.56976,0.39667,1.16621,1.05837,1.36526,0.00140295,0.00140295,0.00140295
10,282.127,0.99545,0.99168,1.19791,0.65552,0.60981,0.64528,0.46446,1.0314,0.97467,1.26721,0.00136994,0.00136994,0.00136994
11,307.072,0.97352,1.00271,1.1921,0.68715,0.64857,0.67332,0.48456,1.08694,1.2968,1.31531,0.00133693,0.00133693,0.00133693
12,331.133,0.97303,0.96905,1.18707,0.5429,0.56739,0.55094,0.40631,0.94114,1.03677,1.15528,0.00130393,0.00130393,0.00130393
13,357.098,0.94823,0.94825,1.18091,0.61674,0.68401,0.61168,0.44078,0.9868,1.09219,1.21855,0.00127092,0.00127092,0.00127092
14,382.31,0.92816,0.91804,1.15483,0.57877,0.6076,0.64862,0.48409,0.98372,1.04815,1.2451,0.00123791,0.00123791,0.00123791
15,406.132,0.92805,0.89952,1.16516,0.70211,0.72281,0.71135,0.52255,1.05655,1.01069,1.25389,0.00120491,0.00120491,0.00120491
16,431.747,0.8908,0.86866,1.13311,0.70553,0.71421,0.72488,0.54865,0.98455,0.96124,1.21135,0.0011719,0.0011719,0.0011719
17,456.269,0.89007,0.88524,1.1483,0.71178,0.62182,0.79096,0.55887,0.97578,0.93614,1.21494,0.00113889,0.00113889,0.00113889
18,480.794,0.87263,0.845,1.11344,0.80755,0.55839,0.63493,0.47714,0.92584,0.89298,1.15817,0.00110589,0.00110589,0.00110589
19,506.532,0.89937,0.86163,1.13214,0.88994,0.54625,0.62825,0.4728,0.93531,0.86565,1.18478,0.00107288,0.00107288,0.00107288
20,530.656,0.86509,0.84083,1.1132,0.77981,0.75384,0.77236,0.57173,0.91007,0.80069,1.17411,0.00103987,0.00103987,0.00103987
21,555.762,0.8542,0.81076,1.11575,0.54079,0.6154,0.54602,0.42465,0.92461,1.17783,1.19473,0.00100687,0.00100687,0.00100687
